                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     62,                0.01867,               0.011813,               0.013821,                      0,                0.91781,                0.31635,                0.34443,                0.30178,                0.94362,                0.31882,                0.36035,                0.31804,                0.02199,               0.014924,               0.013974,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.01897,               0.012096,               0.013956,                      0,                  0.921,                0.31471,                0.35032,                0.30718,                0.94617,                0.31772,                0.36468,                0.32147,               0.021509,               0.014856,               0.013843,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.01833,               0.011947,               0.013853,                      0,                0.92546,                0.31628,                0.34885,                0.30992,                0.93508,                0.31955,                0.36349,                0.32173,               0.021179,               0.014596,                0.01409,                      0,               0.003763,               0.003763,               0.003763
                     65,               0.017377,               0.011412,                0.01296,                      0,                0.92564,                0.32046,                0.34744,                0.30663,                0.94955,                0.31882,                0.35869,                0.31544,               0.021217,               0.014444,               0.013334,                      0,               0.003664,               0.003664,               0.003664
                     66,               0.018852,                0.01262,               0.013628,                      0,                0.89969,                0.31717,                0.34269,                0.30325,                0.91134,                0.32128,                0.35964,                0.31909,               0.021378,               0.014987,               0.014043,                      0,               0.003565,               0.003565,               0.003565
                     67,               0.017654,               0.011887,               0.014189,                      0,                0.91733,                 0.3191,                0.35042,                 0.3093,                0.93161,                0.31964,                0.36444,                0.31935,               0.021652,                0.01565,               0.013967,                      0,               0.003466,               0.003466,               0.003466
                     68,               0.018326,               0.012125,               0.013117,                      0,                0.92813,                0.31389,                0.34409,                0.30278,                0.94038,                  0.318,                0.35833,                0.31478,                0.02187,               0.014768,               0.014212,                      0,               0.003367,               0.003367,               0.003367
                     69,               0.017299,               0.011483,               0.013249,                      0,                0.91376,                0.31344,                 0.3451,                0.30776,                0.92536,                0.31882,                0.36296,                0.31961,               0.021218,               0.014853,               0.014141,                      0,               0.003268,               0.003268,               0.003268
                     70,               0.017205,               0.011895,               0.013334,                      0,                0.92677,                0.31389,                0.34244,                0.30608,                0.93551,                0.31717,                0.35924,                0.31565,               0.021339,               0.014932,               0.014084,                      0,               0.003169,               0.003169,               0.003169
                     71,               0.016819,               0.011411,                0.01259,                      0,                0.94682,                 0.3072,                0.34033,                0.30521,                0.95948,                0.31129,                0.35793,                0.31479,               0.021597,               0.014742,               0.014926,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.01851,               0.012833,               0.013458,                      0,                0.93058,                 0.3106,                 0.3441,                0.30895,                0.94298,                0.31471,                0.36112,                0.32071,               0.021167,               0.014809,               0.014282,                      0,               0.002971,               0.002971,               0.002971
